     1 , 4090550.00
     2 , 4088103.50
     3 , 4059858.50
     4 , 4175547.50
     5 , 3965534.75
     6 , 3970781.75
     7 , 3991650.25
     8 , 3848619.50
     9 , 3646244.50
    10 , 3546146.00
    11 , 3411595.50
    12 , 3425826.50
    13 , 3177027.75
    14 , 2888770.25
    15 , 2895263.50
    16 , 2682362.00
    17 , 2395849.75
    18 , 2246591.25
    19 , 2065781.50
    20 , 1822705.25
    21 , 1527514.62
    22 , 1497145.00
    23 , 1409602.50
    24 , 1119632.62
    25 ,  801627.50
    26 ,  660562.31
    27 ,  423644.12
    28 ,  215274.00
    29 ,  -58158.34
    30 , -325295.94
    31 , -585580.31
    32 , -688644.69
    33 , -1024262.25
    34 , -1188320.62
    35 , -1421308.12
    36 , -1514069.00
    37 , -1808269.25
    38 , -2074615.38
    39 , -2490416.25
    40 , -2423210.50
    41 , -2634736.75
    42 , -2767193.50
    43 , -3068227.75
    44 , -3241917.75
    45 , -3370499.00
    46 , -3310777.00
    47 , -3415601.00
    48 , -3758019.50
    49 , -3889177.50
    50 , -3812841.25
    51 , -3814360.50
    52 , -4014321.25
    53 , -4057727.50
    54 , -4205659.00
    55 , -4020899.00
    56 , -4130302.25
    57 , -4209092.50
    58 , -4150882.50
    59 , -4220522.00
    60 , -4177064.75
    61 , -4264228.50
    62 , -4145637.75
    63 , -4047936.00
    64 , -3978183.25
    65 , -3652666.50
    66 , -3725655.00
    67 , -3464973.25
    68 , -3560968.50
    69 , -3268768.75
    70 , -3141803.25
    71 , -3067933.25
    72 , -2879295.50
    73 , -2713702.00
    74 , -2601552.00
    75 , -2590877.25
    76 , -2220980.50
    77 , -1981944.62
    78 , -1700146.12
    79 , -1564663.62
    80 , -1411108.88
    81 , -1103203.75
    82 , -1030506.06
    83 , -829908.81
    84 , -391773.97
    85 , -341667.34
    86 ,  -75185.17
    87 ,  127119.29
    88 ,  269137.78
    89 ,  821945.25
    90 ,  872543.25
    91 , 1096202.75
    92 , 1401926.50
    93 , 1583722.62
    94 , 1827221.00
    95 , 2032908.88
    96 , 2027185.75
    97 , 2343861.00
    98 , 2443443.75
    99 , 2722324.75
   100 , 2827342.00
   101 , 3161144.00
   102 , 3261722.50
   103 , 3364062.25
   104 , 3375843.75
   105 , 3607826.00
   106 , 3668884.25
   107 , 3881594.50
   108 , 3964476.25
   109 , 3829470.50
   110 , 4113316.75
   111 , 4067422.50
   112 , 4067844.50
   113 , 4099636.25
   114 , 4242101.00
   115 , 4152730.25
   116 , 4174252.75
   117 , 4279122.50
   118 , 4331373.50
   119 , 4091832.50
   120 , 4220413.50
   121 , 3811169.00
   122 , 3874796.50
   123 , 3896775.25
   124 , 3721158.75
   125 , 3441940.75
   126 , 3576960.00
   127 , 3201000.50
   128 , 3243680.00
   129 , 3088000.50
   130 , 2846265.25
   131 , 2909342.25
   132 , 2574524.00
   133 , 2281733.25
   134 , 2010143.38
   135 , 1982618.88
   136 , 1823152.25
   137 , 1381998.38
   138 , 1307087.00
   139 , 1002230.88
   140 ,  982368.19
   141 ,  802638.38
   142 ,  441930.88
   143 ,   87449.91
   144 ,  -94673.69
   145 , -351653.50
   146 , -518748.72
   147 , -557500.94
   148 , -1024667.94
   149 , -1216495.62
   150 , -1608958.12
   151 , -1654979.75
   152 , -1915907.25
   153 , -2045458.00
   154 , -2280826.00
   155 , -2464217.75
   156 , -2610780.00
   157 , -2734527.50
   158 , -3029659.50
   159 , -2921244.25
   160 , -3201313.00
   161 , -3353845.00
   162 , -3344445.75
   163 , -3487024.00
   164 , -3719083.75
   165 , -3926267.50
   166 , -3938686.00
   167 , -3851882.75
   168 , -4120566.75
   169 , -3880822.00
   170 , -4181816.50
   171 , -4294690.00
   172 , -4358747.50
   173 , -4190435.50
   174 , -4114294.50
   175 , -4155917.50
   176 , -3959549.00
   177 , -4173287.25
   178 , -4126701.75
   179 , -3727648.75
   180 , -3920533.00
   181 , -3726421.50
   182 , -3658721.00
   183 , -3392416.00
   184 , -3434167.25
   185 , -3272890.75
   186 , -3187400.75
   187 , -2980120.25
   188 , -2859627.25
   189 , -2674102.75
   190 , -2290579.50
   191 , -2242405.00
   192 , -1968328.00
   193 , -1862212.75
   194 , -1560941.00
   195 , -1521332.62
   196 , -1103228.50
   197 , -828972.75
   198 , -589394.25
   199 , -578479.75
   200 , -211727.22
   201 , -183720.02
   202 ,  162655.14
   203 ,  450579.56
   204 ,  554238.00
   205 ,  602500.00
   206 , 1106904.88
   207 , 1397550.88
   208 , 1398482.88
   209 , 1749448.62
   210 , 1876418.00
   211 , 1913281.75
   212 , 2428690.00
   213 , 2675124.00
   214 , 2648625.75
   215 , 2979084.25
   216 , 3017096.25
   217 , 3162247.50
   218 , 3366028.75
   219 , 3380078.00
   220 , 3586487.50
   221 , 3696106.00
   222 , 3764154.75
   223 , 3937895.25
   224 , 3971599.25
   225 , 4047513.50
   226 , 4154574.25
   227 , 4097482.75
   228 , 4188025.50
   229 , 4056610.50
   230 , 4122437.25
   231 , 3983916.00
   232 , 4192621.25
   233 , 4223622.00
   234 , 4118296.50
   235 , 3912109.50
   236 , 4035795.50
   237 , 3854124.25
   238 , 3613819.25
   239 , 3741897.75
   240 , 3565519.00
   241 , 3166189.50
   242 , 3388059.50
   243 , 3168742.00
   244 , 2928440.75
   245 , 2918798.50
   246 , 2586969.50
   247 , 2399825.00
   248 , 2235428.50
   249 , 2146457.00
   250 , 1843789.12
   251 , 1887434.88
   252 , 1515061.00
   253 , 1322008.88
   254 , 1138226.00
   255 ,  777094.75
